run_id,seed,model,persona,memory_type,risk_aversion,aggressiveness,profit_orientation,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B15,buyer,bid,12,15,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,S2,seller,ask,16,12,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,S1,seller,ask,15,12,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,S4,seller,ask,14,12,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B1,buyer,bid,16,20,True,14,S4,6
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B4,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B14,buyer,bid,15,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B16,buyer,bid,16,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,S3,seller,ask,13,12,True,16,B16,4
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B17,buyer,bid,17,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B5,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B18,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,2,1,B3,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B3,buyer,bid,10,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B6,buyer,bid,11,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B14,buyer,bid,12,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B20,buyer,bid,13,13,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B22,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B13,buyer,bid,15,15,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,S2,seller,ask,13,12,True,15,B13,3
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,S1,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B19,buyer,bid,13,13,True,13,S1,0
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B5,buyer,bid,16,17,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B15,buyer,bid,17,20,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,S3,seller,ask,13,12,True,17,B15,5
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B2,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B17,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,S4,seller,ask,17,12,True,17,B2,5
1,42,gemma3-27b,baseline,baseline,very_averse,none,none,20260426_154127,3,1,B24,buyer,bid,17,17,False,,,
