treatment,dial,level,level_num,model,period,n_runs,llm_avg_price,llm_sd,llm_ci_lo,llm_ci_hi,llm_min_price,llm_max_price,llm_avg_trades,human_avg_price,human_num_trades,human_ce_price,price_gap_vs_human
dial_profit_orientation,profit_orientation,maximizer,4,gemma3-27b,2,1,15.12,0,15.12,15.12,12.0,19.0,16.0,14.1,16,12.5,1.03
dial_profit_orientation,profit_orientation,maximizer,4,gemma3-27b,3,1,16.17,0,16.17,16.17,14.0,20.0,12.0,13.5,16,12.5,2.67
dial_profit_orientation,profit_orientation,extreme_maximizer,5,gemma3-27b,1,1,15.81,0,15.81,15.81,12.0,20.0,16.0,14.49,16,12.5,1.32
dial_profit_orientation,profit_orientation,extreme_maximizer,5,gemma3-27b,2,1,15.5,0,15.5,15.5,12.0,19.0,14.0,14.1,16,12.5,1.4
dial_profit_orientation,profit_orientation,extreme_maximizer,5,gemma3-27b,3,1,15.71,0,15.71,15.71,12.0,19.0,14.0,13.5,16,12.5,2.21
dial_risk_aversion,risk_aversion,very_averse,1,gemma3-27b,1,5,14.32,0.75,13.66,14.98,12.0,19.0,31.0,14.49,16,12.5,-0.17
dial_risk_aversion,risk_aversion,very_averse,1,gemma3-27b,2,5,14.75,0.42,14.39,15.12,12.0,20.0,26.8,14.1,16,12.5,0.65
dial_risk_aversion,risk_aversion,very_averse,1,gemma3-27b,3,5,15.15,0.68,14.56,15.75,12.0,20.0,27.4,13.5,16,12.5,1.65
dial_risk_aversion,risk_aversion,averse,2,gemma3-27b,1,5,14.41,0.51,13.96,14.86,12.0,19.0,22.4,14.49,16,12.5,-0.08
dial_risk_aversion,risk_aversion,averse,2,gemma3-27b,2,5,14.67,0.19,14.5,14.84,12.0,19.0,22.4,14.1,16,12.5,0.57
dial_risk_aversion,risk_aversion,averse,2,gemma3-27b,3,5,15.19,0.25,14.97,15.4,12.0,20.0,21.2,13.5,16,12.5,1.69
dial_risk_aversion,risk_aversion,neutral,3,gemma3-27b,1,3,14.84,1.18,13.5,16.18,12.0,18.0,17.0,14.49,16,12.5,0.35
dial_risk_aversion,risk_aversion,neutral,3,gemma3-27b,2,2,14.8,0.11,14.64,14.95,12.0,20.0,24.0,14.1,16,12.5,0.7
dial_risk_aversion,risk_aversion,neutral,3,gemma3-27b,3,2,14.73,0.39,14.19,15.26,12.0,20.0,23.5,13.5,16,12.5,1.23
dial_risk_aversion,risk_aversion,seeking,4,gemma3-27b,1,1,15.8,0,15.8,15.8,13.0,20.0,15.0,14.49,16,12.5,1.31
dial_risk_aversion,risk_aversion,seeking,4,gemma3-27b,2,1,15.31,0,15.31,15.31,12.0,19.0,16.0,14.1,16,12.5,1.21
dial_risk_aversion,risk_aversion,seeking,4,gemma3-27b,3,1,15.5,0,15.5,15.5,12.0,20.0,16.0,13.5,16,12.5,2.0
dial_risk_aversion,risk_aversion,very_seeking,5,gemma3-27b,1,1,14.38,0,14.38,14.38,12.0,17.0,16.0,14.49,16,12.5,-0.12
dial_risk_aversion,risk_aversion,very_seeking,5,gemma3-27b,2,1,15.12,0,15.12,15.12,12.0,19.0,16.0,14.1,16,12.5,1.03
dial_risk_aversion,risk_aversion,very_seeking,5,gemma3-27b,3,1,15.88,0,15.88,15.88,12.0,20.0,16.0,13.5,16,12.5,2.38
human_benchmark,none,human,0,human_subjects,1,,14.49,,,,,,,14.49,16,12.5,0.0
human_benchmark,none,human,0,human_subjects,2,,14.1,,,,,,,14.1,16,12.5,0.0
human_benchmark,none,human,0,human_subjects,3,,13.5,,,,,,,13.5,16,12.5,0.0
temperature,temperature,t0.0,1,gemma3-27b,1,5,14.45,0.51,14.0,14.89,12.0,19.0,50.2,14.49,16,12.5,-0.04
temperature,temperature,t0.0,1,gemma3-27b,2,5,14.83,0.29,14.58,15.09,12.0,20.0,46.2,14.1,16,12.5,0.73
temperature,temperature,t0.0,1,gemma3-27b,3,5,14.83,0.33,14.54,15.12,12.0,20.0,44.8,13.5,16,12.5,1.33
temperature,temperature,t0.3,2,gemma3-27b,1,5,14.47,0.44,14.08,14.85,12.0,19.0,59.2,14.49,16,12.5,-0.02
temperature,temperature,t0.3,2,gemma3-27b,2,5,14.81,0.26,14.59,15.04,12.0,20.0,55.8,14.1,16,12.5,0.71
temperature,temperature,t0.3,2,gemma3-27b,3,5,14.73,0.57,14.22,15.23,12.0,20.0,51.0,13.5,16,12.5,1.23
temperature,temperature,t0.5,3,gemma3-27b,1,1,14.33,0,14.33,14.33,12.0,17.0,15.0,14.49,16,12.5,-0.16
temperature,temperature,t0.5,3,gemma3-27b,2,1,14.8,0,14.8,14.8,12.0,19.0,15.0,14.1,16,12.5,0.7
temperature,temperature,t0.5,3,gemma3-27b,3,1,15.46,0,15.46,15.46,13.0,18.0,13.0,13.5,16,12.5,1.96
temperature,temperature,t0.7,4,gemma3-27b,1,1,14.13,0,14.13,14.13,12.0,17.0,15.0,14.49,16,12.5,-0.36
temperature,temperature,t0.7,4,gemma3-27b,2,1,14.25,0,14.25,14.25,12.0,19.0,16.0,14.1,16,12.5,0.15
temperature,temperature,t0.7,4,gemma3-27b,3,1,14.53,0,14.53,14.53,12.0,18.0,15.0,13.5,16,12.5,1.03
temperature,temperature,t1.0,5,gemma3-27b,1,1,14.38,0,14.38,14.38,12.0,17.0,16.0,14.49,16,12.5,-0.12
temperature,temperature,t1.0,5,gemma3-27b,2,1,13.94,0,13.94,13.94,12.0,17.0,16.0,14.1,16,12.5,-0.16
temperature,temperature,t1.0,5,gemma3-27b,3,1,15.07,0,15.07,15.07,13.0,18.0,14.0,13.5,16,12.5,1.57
